icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
4b18f1,1749362261,LSZH,1749365920,LFMN,SWR42B  ,1482,35,155.0,3.0,1,1
4b1619,1749362180,LSZH,1749364288,LSGG,SWR915W ,1387,27,3958.0,49.0,1,2
400982,1749362173,LSZH,1749368963,EGLL,BAW709  ,441,35,2567.0,12.0,1,5
4b1812,1749362101,LSZH,1749366024,LIRF,SWR4AC  ,1377,27,6330.0,56.0,1,4
4b19f2,1749362076,LSZH,1749365691,LOWW,SWR4HY  ,1201,27,970.0,15.0,1,2
4b0295,1749362005,LSZH,1749367430,EPWA,SWR1GT  ,1158,35,1537.0,34.0,1,1
4b19fc,1749361987,LSZH,1749366358,EDDB,SWR97Y  ,1027,35,2391.0,74.0,1,3
4b18bb,1749361920,LSZH,1749365759,LFPG,SWR9DT  ,1211,27,2489.0,32.0,1,8
4b3810,1749361904,LSZH,1749363773,LSGG,CAZ201  ,1160,27,5741.0,149.0,1,2
4b17fb,1749361741,LSZH,1749365353,,SWR176H ,1158,27,,,1,0
4b19e6,1749361502,LSZH,1749363568,EDDM,SWR2MC  ,1179,27,2004.0,19.0,1,3
39e693,1749361444,LSZH,1749367436,LFPG,AFR33XY ,1250,35,5937.0,48.0,1,8
4b17f9,1749360596,LSZH,1749365309,,SWR8EM  ,571,35,,,1,0
4b1699,1749360555,LSZH,1749365084,LHBP,SWR268A ,1246,27,655.0,13.0,1,7
4b1617,1749360494,LSZH,1749365357,EDDH,SWR433Y ,1467,27,2586.0,98.0,1,3
502d5b,1749360311,LSZH,1749364631,,SWR98C  ,1216,27,,,1,0
4b0293,1749360132,LSZH,1749363728,EDDF,SWR37P  ,1170,27,1655.0,49.0,1,5
4b19fd,1749360022,LSZH,1749366682,EGCC,SWR8TZ  ,1204,27,48.0,17.0,1,1
484133,1749359968,LSZH,1749364529,EHAM,KLM38Y  ,1178,27,2225.0,56.0,1,1
4b18f2,1749359869,LSZH,1749365985,LEBL,SWR4XH  ,1468,27,1860.0,64.0,1,1
4b19f3,1749359836,LSZH,1749365331,EKCH,SWR193T ,1014,27,1641.0,116.0,1,0
4baad2,1749359756,LSZH,1749371233,LTFM,THY3SP  ,398,35,6875.0,327.0,1,2
4b0294,1749359568,LSZH,1749366235,LEVC,SWR245T ,1514,27,251.0,65.0,1,0
4b1818,1749359532,LSZH,1749366179,EGLL,SWR542D ,2213,35,2544.0,12.0,1,5
4b1614,1749359484,LSZH,1749363238,EDDL,SWR101K ,1468,27,1088.0,31.0,1,4
4b194c,1749359244,LSZH,1749365257,LICJ,SWR3HB  ,2400,27,11544.0,490.0,1,1
4b19f5,1749359241,LSZH,1749366223,LEMD,SWR430H ,1188,27,2691.0,52.0,1,3
502d59,1749358858,LSZH,1749364526,LYBE,SWR464L ,2302,35,782.0,18.0,1,3
4b0292,1749358855,LSZH,1749362934,,SWR737A ,474,35,,,1,0
4b161a,1749358756,LSZH,1749363379,,EDW402  ,671,27,,,1,0
4b194a,1749358586,LSZH,1749364497,LEPA,SWR242E ,1349,27,20878.0,1043.0,1,1
4b18f3,1749358499,LSZH,1749367606,,EDW348W ,1458,27,,,1,0
4b194d,1749358220,LSZH,1749365969,LGTS,SWR738W ,1383,27,3244.0,92.0,1,1
4b1620,1749357804,LSZH,1749364574,,EDW120R ,1424,20,,,1,0
4b1939,1749357727,LSZH,1749362782,,CSW630  ,1465,27,,,1,0
4b180b,1749357478,LSZH,1749365898,,SWR3MM  ,1164,27,,,1,0
4b15ef,1749357471,LSZH,1749369367,LCLK,EDW370L ,303,27,10966.0,500.0,1,0
4b028e,1749357466,LSZH,1749366548,EIDW,SWR1YB  ,2390,35,450.0,20.0,1,4
4b18ba,1749357444,LSZH,1749368000,,EDW212R ,1440,27,,,1,0
4b161f,1749357399,LSZH,1749368219,,EDW228B ,1424,27,,,1,0
4b161e,1749357312,LSZH,1749367495,,EDW214A ,2133,35,,,1,0
4952ce,1749357304,LSZH,1749367575,LPPT,TAP9RH  ,1474,27,731.0,60.0,1,4
4b1802,1749357297,LSZH,1749362937,,EDW721D ,2771,27,,,1,0
4b17e5,1749357281,LSZH,1749365925,LPPR,SWR5WB  ,1199,27,2670.0,14.0,1,2
4b1804,1749357264,LSZH,1749361873,,EDW88Z  ,2581,27,,,1,0
3c6472,1749357259,LSZH,1749369113,LCLK,CFG5AT  ,1787,27,10296.0,477.0,1,0
4b15ee,1749357025,LSZH,1749367520,,EDW200E ,1468,27,,,1,0
4b18f5,1749355427,LSZH,1749366462,LTAI,EDW186  ,1383,27,1931.0,67.0,1,1
4b15ed,1749355098,LSZH,1749364739,,EDW130J ,865,27,,,1,0
4b1942,1749354852,LSZH,1749359327,,CSW6KP  ,501,27,,,1,0
4b193f,1749354786,LSZH,1749360055,,CSW638  ,475,27,,,1,0
4b1806,1749344703,LSZH,1749346919,LSZH,SWR     ,2586,20,2586.0,27.0,1,7
4b1806,1749340858,LSZH,1749342263,LSZH,SWR     ,2585,27,2585.0,27.0,1,7
4b1802,1749334530,LSZH,1749336616,LSZH,SWR     ,2773,27,2772.0,27.0,1,7
4b1806,1749333752,LSZH,1749336800,LSZH,SWR     ,2585,27,2582.0,27.0,1,7
